"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617102070519"	"1017092617102070519"	7226.03194407656	-5210.99183489448	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102010282-1"	"1017092617102010282-1"	4498.09491356908	-5381.77822554626	"PO"	"PO"	10	8	2	5	13	0	14	13	1	10	10	1
"1017092617102050177"	"1017092617102050177"	6683.07217496723	-5039.68754260699	"PO"	"PO"	10	8	2	5	13	0	14	2	1	10	26	1
"1017092617102300471"	"1017092617102300471"	7175.5979723424	-5709.45347714168	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102310052"	"1017092617102310052"	7740.22098808172	-5287.89163892861	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617102540299"	"1017092617102540299"	7148.07903759078	-6235.97170966052	"ZI"	"ZI-unassigned"	7	12	0	4	8	2	11	4	22	27	3	3
"1017092617101760061"	"1017092617101760061"	4065.93675534639	-4787.46468932035	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	4	7
"1017092617101530621"	"1017092617101530621"	4477.63106342705	-4487.41849834769	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	21	4
"1017092617102060581"	"1017092617102060581"	6853.73664633254	-5372.20590202211	"PO"	"PO"	7	12	2	5	17	4	7	19	20	9	23	21
"1017092617102240306"	"1017092617102240306"	4205.41265545228	-6012.32506180807	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	19	23	24
"1017092617102240119"	"1017092617102240119"	4218.62719189637	-5799.17683952011	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101980439-1"	"1017092617101980439-1"	3159.53387807559	-5626.26997957758	"VPL"	"VPL"	7	12	0	4	8	2	11	6	3	27	3	3
"1017092617101980526"	"1017092617101980526"	3139.09100056265	-5708.99670985138	"VPL"	"VPL"	7	12	0	4	8	2	11	6	3	27	3	3
"1017092617102310462-1"	"1017092617102310462-1"	7639.53852635539	-5664.2280069433	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102070114"	"1017092617102070114"	7479.06285225276	-4866.52851182187	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102230201"	"1017092617102230201"	3744.77784539067	-5951.68400138706	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102310133-1"	"1017092617102310133-1"	7417.82586896294	-5403.57300854992	"VPM"	"VPM"	2	2	0	4	4	1	19	6	0	19	7	0
"1017092617101990415"	"1017092617101990415"	3460.6303994766	-5607.45472606883	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	27	5	3
"1017092617102000135-1"	"1017092617102000135-1"	3975.26996896402	-5335.97701140849	"PO"	"PO"	2	12	0	4	8	2	19	6	3	19	7	0
"1017092617102300271-1"	"1017092617102300271-1"	6991.71882338228	-5577.79285811078	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	19	7	0
"1017092617101840280"	"1017092617101840280"	7677.54921692254	-4477.64157982725	"LGd"	"LGd-ip"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840091-1"	"1017092617101840091-1"	7612.95934622525	-4375.35840032286	"LGd"	"LGd-ip"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101500081-1"	"1017092617101500081-1"	3248.6328613593	-4486.40458193535	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840576"	"1017092617101840576"	7958.05470515871	-4658.99047804551	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101500257"	"1017092617101500257"	3247.19375645772	-4565.09043513962	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840489-1"	"1017092617101840489-1"	7875.42460549334	-4579.42046313426	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101510318"	"1017092617101510318"	3394.06731273191	-4582.08022215179	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101270663"	"1017092617101270663"	3517.0751736503	-4413.30697457987	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101590786"	"1017092617101590786"	7445.87664096532	-4313.32639345752	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101510231-1"	"1017092617101510231-1"	3325.43447701207	-4546.54328201377	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101270605"	"1017092617101270605"	3323.77431941917	-4416.30343781239	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840591"	"1017092617101840591"	7865.81698329638	-4660.88150297347	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101830057-1"	"1017092617101830057-1"	7289.17600976635	-4417.05201923465	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102310600-1"	"1017092617102310600-1"	7523.82819264238	-5808.18202998117	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102240115"	"1017092617102240115"	4339.55707489654	-5771.37177955683	"PO"	"PO"	7	12	2	4	8	2	7	14	20	10	23	21
"1017092617102310501"	"1017092617102310501"	7614.07556473278	-5702.14855098244	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101820260-1"	"1017092617101820260-1"	6926.36389381683	-4572.9081181425	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617101510045"	"1017092617101510045"	3556.40255635704	-4408.977363348	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102310620-1"	"1017092617102310620-1"	7625.30291878569	-5824.94229656433	"VPL"	"VPL"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101520605-1"	"1017092617101520605-1"	4021.62775501587	-4750.81384946308	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	4	7
"1017092617102060481"	"1017092617102060481"	6947.49637480562	-5281.63982573729	"PO"	"PO"	10	8	2	5	17	0	7	17	1	8	24	1
"1017092617102530353"	"1017092617102530353"	6648.86337298269	-6247.06593688846	"VM"	"VM"	1	11	2	16	14	0	5	20	8	21	15	27
"1017092617101510394-1"	"1017092617101510394-1"	3673.10257044072	-4575.18425538901	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617102300118-1"	"1017092617102300118-1"	6831.53560870214	-5459.88857171618	"PO"	"PO"	10	8	2	5	17	0	7	19	1	8	23	21
"1017092617102250148"	"1017092617102250148"	4655.62545008646	-5789.15099085028	"PO"	"PO"	10	8	2	5	13	0	14	17	1	8	24	1
"1017092617102230064"	"1017092617102230064"	3786.81605299315	-5818.02294262942	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102300284-1"	"1017092617102300284-1"	7215.63756094984	-5561.38798854035	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102260501"	"1017092617102260501"	5122.29043218375	-6002.71175350134	"CM"	"CM"	5	11	13	19	7	15	9	11	15	21	15	16
"1017092617102000570-1"	"1017092617102000570-1"	3908.08698916739	-5694.91268210613	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102000565"	"1017092617102000565"	4189.25511415775	-5638.19815391894	"PO"	"PO"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617102050175"	"1017092617102050175"	6328.13405335368	-5086.33292559456	"CL"	"CL"	6	13	3	12	12	3	20	16	4	21	20	18
"1017092617102010293-1"	"1017092617102010293-1"	4353.68464969456	-5409.57949096652	"PO"	"PO"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617102230407"	"1017092617102230407"	3834.60867318957	-6106.74931062367	"VPM"	"VPM"	7	12	0	4	8	2	7	4	20	27	23	3
"1017092617101840545-1"	"1017092617101840545-1"	7658.03815753248	-4609.02077209412	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101820305-1"	"1017092617101820305-1"	6903.73251329599	-4608.08601515653	"LP"	"LP"	13	15	2	17	11	7	24	5	6	24	11	7
"1017092617102010578-1"	"1017092617102010578-1"	4355.83618853469	-5647.56294546349	"PO"	"PO"	10	8	2	5	17	0	14	19	1	8	24	1
"1017092617102530030"	"1017092617102530030"	6415.80779906088	-5940.33574150014	"PO"	"PO"	10	8	2	5	17	0	14	17	1	10	10	1
"1017092617101510458-1"	"1017092617101510458-1"	3421.80164731465	-4670.49998803716	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102000467-1"	"1017092617102000467-1"	4033.20712125678	-5600.63980480515	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	19	5	3
"1017092617102730168"	"1017092617102730168"	4741.23356854572	-6772.00342959223	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	10
"1017092617102030430-1"	"1017092617102030430-1"	5673.91470494607	-5381.45382823165	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617102300531-1"	"1017092617102300531-1"	7101.09222529584	-5779.39925493719	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617102060041"	"1017092617102060041"	6806.0158752781	-4914.27983493902	"PO"	"PO"	10	8	2	5	13	0	14	17	1	7	24	1
"1017092617102000199"	"1017092617102000199"	3974.76830499636	-5389.71906317879	"VPM"	"VPM"	2	12	0	18	4	1	19	18	0	19	7	0
"1017092617101990409-1"	"1017092617101990409-1"	3819.25896358354	-5545.31501852359	"VPM"	"VPM"	2	2	0	4	8	2	18	18	0	19	7	24
"1017092617102060044"	"1017092617102060044"	6987.07570727527	-4896.34353768224	"PO"	"PO"	10	8	2	5	13	0	14	2	1	8	24	1
"1017092617101760098-1"	"1017092617101760098-1"	3936.80501848604	-4833.52848104605	"PO"	"PO"	13	15	2	17	11	7	7	19	20	8	4	21
"1017092617102310148-1"	"1017092617102310148-1"	7657.58007766812	-5377.27080735301	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990252-1"	"1017092617101990252-1"	3824.53584033277	-5417.31280893969	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102540202"	"1017092617102540202"	6820.33613166537	-6053.21887268346	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	19	5	3
"1017092617102310198-1"	"1017092617102310198-1"	7547.99503089263	-5436.46102133397	"VPM"	"VPM"	2	12	0	18	4	1	19	18	0	19	7	0
"1017092617102060399"	"1017092617102060399"	7104.62320437177	-5209.5971945036	"PO"	"PO"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617101820197-1"	"1017092617101820197-1"	6851.38355306783	-4555.318284562	"LP"	"LP"	13	15	3	17	11	7	24	5	6	24	11	7
"1017092617101530597-1"	"1017092617101530597-1"	4454.58507265087	-4485.04829482155	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	21	4
"1017092617101840770"	"1017092617101840770"	7865.94687124204	-4799.54668246159	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101500469"	"1017092617101500469"	3139.10666671284	-4748.72952184374	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102290106"	"1017092617102290106"	6672.52827620749	-5481.89009552059	"PO"	"PO"	10	8	2	5	13	0	14	17	1	10	26	1
"1017092617102010570-1"	"1017092617102010570-1"	4625.22101137575	-5598.41712137054	"PCN"	"PCN"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617102240088"	"1017092617102240088"	4259.58859907993	-5755.04138707905	"PO"	"PO"	7	12	0	4	8	2	19	14	3	27	23	3
"1017092617101750490"	"1017092617101750490"	3573.46971257204	-5177.62607506842	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101510635"	"1017092617101510635"	3563.44960715803	-4795.19144858982	"LP"	"LP"	7	12	5	3	20	5	11	4	24	11	25	17
"1017092617102310144-1"	"1017092617102310144-1"	7411.01126348063	-5414.80191345181	"VPM"	"VPM"	2	2	0	4	8	2	19	6	0	19	7	0
"1017092617102300276"	"1017092617102300276"	7088.16398423269	-5570.3239189109	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	19	7	3
"1017092617102060375"	"1017092617102060375"	6844.15009741876	-5213.91752649845	"PO"	"PO"	10	8	2	5	17	0	14	2	1	8	24	1
"1017092617102310326-1"	"1017092617102310326-1"	7497.58807218492	-5553.53827240617	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102240063"	"1017092617102240063"	4285.64112616904	-5733.73725327353	"PO"	"PO"	7	12	0	4	8	2	7	9	20	11	25	17
"1017092617102310510-1"	"1017092617102310510-1"	7448.70095957517	-5705.81952409276	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102300184-1"	"1017092617102300184-1"	6789.82439792194	-5526.5618619963	"PO"	"PO"	10	8	2	5	17	0	7	19	1	8	24	1
"1017092617102250539"	"1017092617102250539"	4809.23957565646	-6067.23962611039	"VM"	"VM"	1	5	4	8	14	6	5	20	8	15	17	9
"1017092617102540113"	"1017092617102540113"	7186.4447746313	-5959.61395886401	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	23	3
"1017092617102310381-1"	"1017092617102310381-1"	7551.14824216822	-5590.5846864719	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	11	25	17
"1017092617102040612"	"1017092617102040612"	6013.4090741489	-5472.62440794468	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617102040599"	"1017092617102040599"	5956.45878079083	-5468.56743685134	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617102260065-1"	"1017092617102260065-1"	4982.09461626029	-5638.16235799425	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102490271-1"	"1017092617102490271-1"	4549.47087364606	-6457.02317084257	"VM"	"VM"	1	5	4	8	14	6	5	20	8	15	17	9
"1017092617102310627-1"	"1017092617102310627-1"	7405.75249679585	-5833.85937283157	"VPL"	"VPL"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101520475-1"	"1017092617101520475-1"	3928.54287753472	-4637.21783769093	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	16	7
"1017092617101840379-1"	"1017092617101840379-1"	7994.56960155702	-4471.89669656321	"LGd"	"LGd-sh"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102240525"	"1017092617102240525"	4314.38664847395	-6126.65281487637	"VPM"	"VPM"	1	11	4	8	14	6	5	20	8	15	17	9
"1017092617102310379-1"	"1017092617102310379-1"	7332.12552798114	-5598.83965419873	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102270104-1"	"1017092617102270104-1"	5796.03121762133	-5578.621799691	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617101820680"	"1017092617101820680"	6818.18921164703	-4924.70632711997	"PO"	"PO"	10	8	2	5	17	0	14	13	1	9	26	1
"1017092617102550102"	"1017092617102550102"	7429.72618569374	-5938.29343233187	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101830347-1"	"1017092617101830347-1"	7462.78643323024	-4597.15475581151	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102050326"	"1017092617102050326"	6678.52707020039	-5168.0657600392	"PO"	"PO"	10	8	2	5	17	0	14	2	1	8	24	1
"1017092617102260141-1"	"1017092617102260141-1"	4993.66749905573	-5703.63841438269	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	18
"1017092617102020473-1"	"1017092617102020473-1"	5152.52059661791	-5433.86849888293	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102240296"	"1017092617102240296"	4348.26880061872	-5982.31396059423	"VPM"	"VPM"	7	12	2	4	8	2	7	4	20	27	23	3
"1017092617102250175"	"1017092617102250175"	4459.996181507	-5833.05819040912	"PO"	"PO"	10	8	2	4	17	2	7	19	20	27	23	3
"1017092617101760096-1"	"1017092617101760096-1"	4047.29979255742	-4831.73923930901	"PO"	"PO"	13	15	2	17	13	0	7	2	1	8	4	1
"1017092617102050611"	"1017092617102050611"	6465.69673085046	-5429.00295390045	"CL"	"CL"	10	8	2	5	13	0	14	2	1	7	24	1
"1017092617102050597"	"1017092617102050597"	6392.287253221	-5425.50246387184	"CL"	"CL"	10	8	2	5	13	0	14	17	1	7	24	1
"1017092617101980214-1"	"1017092617101980214-1"	3138.51321498979	-5440.33029881693	"VPL"	"VPL"	7	12	0	4	8	2	11	6	10	27	3	26
"1017092617102290432-1"	"1017092617102290432-1"	6766.4697361329	-5754.24655563176	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102070656"	"1017092617102070656"	7398.64264495495	-5289.84498660702	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300429"	"1017092617102300429"	7055.7836569853	-5701.87640435445	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102230136"	"1017092617102230136"	3662.15510343846	-5914.16850128398	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101750433"	"1017092617101750433"	3678.98054580899	-5121.97753345986	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990278-1"	"1017092617101990278-1"	3817.86305264318	-5437.09036604098	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000550"	"1017092617102000550"	4148.68686092875	-5634.4565625372	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	27	23	3
"1017092617102070545"	"1017092617102070545"	7208.59507072705	-5231.68385789526	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990301-1"	"1017092617101990301-1"	3440.17737900442	-5509.039688946	"VPM"	"VPM"	2	2	0	18	4	1	19	6	0	19	7	0
"1017092617101990175"	"1017092617101990175"	3677.79169583336	-5378.67991357307	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750335"	"1017092617101750335"	3724.07626289311	-5048.26380144702	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102060589"	"1017092617102060589"	7035.17247803911	-5356.66747482407	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990221-1"	"1017092617101990221-1"	3393.74318198885	-5443.84378045243	"VPM"	"VPM"	2	2	0	18	4	1	18	9	0	11	25	17
"1017092617102000053"	"1017092617102000053"	3861.27794493865	-5283.89395303899	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101740658"	"1017092617101740658"	3208.09469319952	-5248.40002459408	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102500620"	"1017092617102500620"	5310.84613118831	-6643.06538004668	"RE"	"RE"	5	5	4	20	2	15	9	11	17	17	22	25
"1017092617102000267-1"	"1017092617102000267-1"	3960.29521495977	-5454.60885229065	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070393"	"1017092617102070393"	7303.60180147071	-5120.41940037693	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617102730105"	"1017092617102730105"	4610.03342438314	-6757.91370803313	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	10
"1017092617102740027"	"1017092617102740027"	5267.16491649906	-6728.66587750444	"TH-unassigned"	"TH-unassigned"	14	10	4	20	2	15	22	11	17	17	22	25
"1017092617102010564-1"	"1017092617102010564-1"	4463.94781324573	-5622.79691768225	"PO"	"PO"	10	8	2	5	17	0	14	2	1	9	26	1
"1017092617102240072"	"1017092617102240072"	4076.6695174551	-5779.03238151937	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	5	17
"1017092617101830136-1"	"1017092617101830136-1"	7477.14336866024	-4439.2776764479	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102060371"	"1017092617102060371"	7176.5002072108	-5174.471860394	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102310096-1"	"1017092617102310096-1"	7508.61795206712	-5362.5744909375	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	7	0
"1017092617101520059"	"1017092617101520059"	4091.02121309499	-4425.57862872767	"LP"	"LP"	6	13	3	12	12	3	20	12	4	12	11	4
"1017092617101580574"	"1017092617101580574"	6917.31464465904	-4376.69307110251	"LP"	"LP"	13	13	3	17	11	7	24	12	6	24	11	7
"1017092617101580751"	"1017092617101580751"	6863.26413190657	-4462.77532549907	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617101520176-1"	"1017092617101520176-1"	4052.81109344733	-4472.56028238843	"LP"	"LP"	13	15	3	17	11	7	24	12	6	24	11	7
"1017092617101770038"	"1017092617101770038"	4385.96887345801	-4715.26160787021	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	14	4
"1017092617101520175-1"	"1017092617101520175-1"	4099.96916870336	-4469.22390756062	"LP"	"LP"	6	13	3	17	15	7	24	12	6	24	11	7
"1017092617101840637"	"1017092617101840637"	8088.25452150821	-4708.28692873318	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101500511-1"	"1017092617101500511-1"	3199.20534879844	-4758.04118103901	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840555"	"1017092617101840555"	7856.91657714746	-4631.65536287954	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101840119-1"	"1017092617101840119-1"	7596.47103314942	-4390.55375178538	"LGd"	"LGd-ip"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617201840550"	"1017092617201840550"	8005.22338471573	-4726.85198702156	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617201510279"	"1017092617201510279"	3295.5415909707	-4603.39767111851	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101500541"	"1017092617101500541"	3290.9489416073	-4724.63008608855	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101590828"	"1017092617101590828"	7075.46186852556	-4407.34319223998	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617101580496"	"1017092617101580496"	6989.22120277165	-4320.63096503706	"LP"	"LP"	13	13	3	17	11	7	24	12	6	24	11	7
"1017092617101580502"	"1017092617101580502"	6979.87373646133	-4328.14410710476	"LP"	"LP"	13	13	3	17	11	7	24	12	6	24	11	7
"1017092617101820055-1"	"1017092617101820055-1"	6735.2084714211	-4491.30446565569	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	21	4
"1017092617101580530"	"1017092617101580530"	6886.05055532649	-4357.74084465657	"LP"	"LP"	13	13	3	17	11	7	24	12	6	24	11	7
"1017092617101580529"	"1017092617101580529"	6862.83580846261	-4361.76046241439	"LP"	"LP"	6	13	3	12	12	3	24	12	6	12	11	4
"1017092617101580610"	"1017092617101580610"	7026.03597296846	-4374.28602508663	"LP"	"LP"	13	15	3	17	11	7	24	5	6	24	11	7
"1017092617101530842"	"1017092617101530842"	4367.348690882	-4666.43566246516	"LP"	"LP"	6	13	3	12	12	3	20	21	4	12	14	4
"1017092617101580642"	"1017092617101580642"	6886.0941495931	-4410.52474067765	"LP"	"LP"	13	13	3	17	11	7	24	12	6	24	11	7
"1017092617101580510"	"1017092617101580510"	7018.40054707979	-4321.09892368842	"LP"	"LP"	13	15	3	17	11	7	24	5	6	24	11	7
"1017092617102290604-1"	"1017092617102290604-1"	6602.39034861988	-5930.45423373281	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617102060315"	"1017092617102060315"	7141.04287338842	-5121.00854700655	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101830384-1"	"1017092617101830384-1"	7504.54040213481	-4616.66939855291	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102070165"	"1017092617102070165"	7305.0456544799	-4935.8197515297	"PO"	"PO"	2	2	0	18	4	1	18	18	0	19	7	0
"1017092617102250149"	"1017092617102250149"	4464.88772740831	-5803.09926406199	"PO"	"PO"	10	8	2	5	17	0	7	19	20	8	23	3
"1017092617102290103-1"	"1017092617102290103-1"	6673.32686200073	-5480.0456695545	"PO"	"PO"	10	8	2	5	17	0	14	17	1	10	26	1
"1017092617102540055"	"1017092617102540055"	6980.29712105354	-5890.11424922401	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102230576"	"1017092617102230576"	3850.97173321349	-6284.08119952931	"VPL"	"VPL"	1	5	4	8	1	9	21	11	15	15	15	16
"1017092617101830147-1"	"1017092617101830147-1"	7431.3847172074	-4450.71285537371	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990146-1"	"1017092617101990146-1"	3501.82183193149	-5378.19786949044	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990129-1"	"1017092617101990129-1"	3579.30047408151	-5352.3182770461	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617102060525"	"1017092617102060525"	7154.47612666381	-5294.30562673658	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750341"	"1017092617101750341"	3591.27449510994	-5084.94125078411	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300110-1"	"1017092617102300110-1"	6728.40232394248	-5466.99160064813	"PO"	"PO"	10	8	2	5	17	0	14	2	1	8	24	1
"1017092617102550078"	"1017092617102550078"	7686.21754735393	-5868.43309798571	"VPL"	"VPL"	7	12	0	4	8	2	11	14	22	11	25	17
"1017092617101760393"	"1017092617101760393"	4144.84702854693	-5076.51400605936	"PO"	"PO"	10	8	2	5	13	0	14	2	1	8	24	1
"1017092617102000430"	"1017092617102000430"	3956.8570618967	-5590.05475709882	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000366-1"	"1017092617102000366-1"	4335.91265707812	-5490.42853699488	"PO"	"PO"	10	8	2	5	13	0	14	13	1	7	24	1
"1017092617102080418"	"1017092617102080418"	7684.30131783324	-4983.98587218871	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102230114"	"1017092617102230114"	3855.56451702728	-5866.43224494009	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102530293"	"1017092617102530293"	6741.5571184881	-6162.37926387487	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101760160-1"	"1017092617101760160-1"	4186.95941119396	-4847.16364122635	"PO"	"PO"	13	8	12	17	11	7	24	5	6	24	16	21
"1017092617101990126-1"	"1017092617101990126-1"	3804.39230348238	-5324.43394527789	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990613-1"	"1017092617101990613-1"	3727.20704647285	-5700.67420886256	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101990715"	"1017092617101990715"	3553.87128534101	-5842.88369453403	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
