"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617102080218"	"1017092617102080218"	8118.23588492451	-4917.70589052811	"LGv"	"LGv"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102320789"	"1017092617102320789"	7848.35073416995	-5811.61512706836	"RT"	"RT"	15	3	9	9	10	11	17	21	10	28	13	11
"1017092617102320565-1"	"1017092617102320565-1"	8021.57728272537	-5625.60792951064	"RT"	"RT"	15	9	9	9	10	11	17	7	10	28	13	11
"1017092617102320289-1"	"1017092617102320289-1"	8221.74860927915	-5373.83817414997	"RT"	"RT"	15	5	9	9	10	11	17	8	10	28	13	11
"1017092617201980669"	"1017092617201980669"	3153.13146690708	-5922.40159122675	"RT"	"RT"	15	16	9	9	10	11	17	10	10	28	13	11
"1017092617102560166"	"1017092617102560166"	7913.72423723856	-5882.96746922762	"RT"	"RT"	15	12	9	9	10	11	17	16	10	28	13	11
"1017092617102770091-1"	"1017092617102770091-1"	6524.35114417513	-6605.20997151117	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102230247"	"1017092617102230247"	3438.1482495497	-6108.76049917192	"VPL"	"VPL"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102320644"	"1017092617102320644"	8113.09147145018	-5658.15043858183	"RT"	"RT"	15	8	9	9	10	11	17	10	10	28	13	11
"1017092617102560185"	"1017092617102560185"	7819.58916556891	-5915.10401991512	"RT"	"RT"	15	10	9	9	10	11	17	15	10	28	13	11
"1017092617102730173"	"1017092617102730173"	4643.19470930317	-6776.02061214955	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	10
"1017092617101740095"	"1017092617101740095"	3187.02447486541	-4981.16364479864	"RT"	"RT"	15	11	9	9	10	11	17	13	10	28	13	11
"1017092617102080639"	"1017092617102080639"	8017.54112008097	-5092.80285112019	"RT"	"RT"	15	16	9	9	10	11	17	10	10	28	13	11
"1017092617102760440-1"	"1017092617102760440-1"	6421.93929232879	-6748.63599187763	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102480627"	"1017092617102480627"	4376.57026390806	-6681.12411115107	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102530602"	"1017092617102530602"	6757.46418942004	-6502.93365830443	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102320690"	"1017092617102320690"	8282.88675350831	-5634.8730338269	"RT"	"RT"	15	3	9	9	10	11	17	20	10	28	13	11
"1017092617102480360-1"	"1017092617102480360-1"	3998.3462184708	-6522.2896841083	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102730210"	"1017092617102730210"	4540.70585764683	-6782.17916671141	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102320755"	"1017092617102320755"	7981.14969883342	-5778.47488634248	"RT"	"RT"	15	3	9	9	10	11	17	12	10	28	13	11
"1017092617102080820"	"1017092617102080820"	8060.11450636866	-5232.01688902049	"RT"	"RT"	15	3	9	9	10	11	17	2	10	28	13	11
"1017092617101740718"	"1017092617101740718"	2890.57566660298	-5325.98733839816	"RT"	"RT"	15	14	9	9	10	11	17	1	10	28	13	11
"1017092617102540663"	"1017092617102540663"	7182.4535122553	-6361.07462088809	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102550404"	"1017092617102550404"	7394.58159110914	-6182.6518638035	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102730074"	"1017092617102730074"	4586.09173797627	-6746.81344100718	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617102730124"	"1017092617102730124"	4635.44392761957	-6761.80736772882	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	10
