	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	STAGATE_config_default_label	SCAN-IT_config_default_label	scanpy_config_default_label	bass_config_default_label	CellCharter_config_default_label
spinalcord_3491	4971.19170984456	6652.352331606221	14.5336787564767	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3492	4969.09659090909	5553.174242424239	12.6950757575758	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3493	5316.472222222221	6297.33888888889	18.7277777777778	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3494	5289.62663185379	6549.06005221932	18.2114882506527	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3495	4122.0540540540505	5524.662162162161	16.5	STARmap_plus	spinalcord	7	6	3	1	1.22150795045872	3	2	1	0	7	6
spinalcord_3496	4558.50862068965	5488.37068965517	10.1163793103448	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3497	4658.37941176471	6680.673529411761	14.3970588235294	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3498	5413.92888888889	6710.02666666667	19.1555555555556	STARmap_plus	spinalcord	7	6	0	4	1.2475491601766	1	6	2	0	6	2
spinalcord_3499	4621.65306122449	6432.16909620991	16.5860058309038	STARmap_plus	spinalcord	7	6	0	4	1.43149043873974	1	2	1	0	6	6
spinalcord_3500	4321.5442477876095	6245.199115044251	11.225663716814198	STARmap_plus	spinalcord	7	7	3	3	0.650296003767253	7	7	6	0	4	6
spinalcord_3501	4310.26465028355	6593.96975425331	13.3780718336484	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3502	4873.654485049829	6511.89368770764	12.0764119601329	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3503	4289.333333333329	6400.53205128205	12.7051282051282	STARmap_plus	spinalcord	7	7	5	4	1.21554351515713	6	2	6	0	6	6
spinalcord_3504	4755.0303030303	5472.166666666671	7.46212121212121	STARmap_plus	spinalcord	7	6	0	4	1.43149043873974	1	2	1	0	6	6
spinalcord_3505	5028.56578947368	5615.192105263161	15.2842105263158	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3506	5285.57877813505	5772.63987138264	7.929260450160769	STARmap_plus	spinalcord	7	6	0	1	1.32279894396699	3	6	1	0	6	6
spinalcord_3507	4899.060606060611	6448.85858585859	12.8888888888889	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3508	4643.17647058824	6626.07352941176	18.8088235294118	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
