	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907101820088	3536.034114532488	-5851.813934624552	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.67623493913473	6	1	0	4	16	8
1019171907102760400	7322.852616257522	-5555.823418315656	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101830438	4118.965696276643	-5788.085336813151	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.60775945153052	6	2	0	15	2	5
1019171907102540334	6811.894107013861	-5234.126340832655	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.56925127483275	5	2	1	3	2	1
1019171907102560289-1	7346.547952455215	-4602.027982369332	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.63772676243696	13	4	9	8	1	1
1019171907102980377	7230.40409467862	-6123.694352471672	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.39728206450484	5	1	17	15	16	5
1019171907101600557-1	3385.6798377275404	-5832.805162252776	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102980423	7583.199261752995	-5969.884554987748	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	7	18	1.5397623182866	6	5	17	4	16	8
1019171907102760098	6927.354000718253	-5477.451922595927	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	17	1.52220223234363	5	2	1	9	2	1
1019171907102050159	4112.440189457936	-6125.039313088823	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101820442	3749.865313365093	-6133.094925887909	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907201830229	4081.835565935912	-5606.8406750130425	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907102770090	7305.07761613962	-5102.578176450385	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.52220223234363	4	2	0	4	2	8
1019171907101620373-1	4170.897317747177	-5038.4480969257	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.60775945153052	4	2	1	3	2	1
1019171907101830499	4256.58715102064	-5771.415281768175	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.56925127483275	5	2	0	3	2	1
1019171907102770037	7219.506576093071	-5114.034009828445	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	17	1.52220223234363	5	2	1	9	2	1
1019171907102550340	7017.994652536374	-4998.923511789464	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.68477580492607	5	2	9	3	2	15
1019171907202560053	7274.997467877483	-4410.014346928693	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	13	11	6	1.54617573838128	4	10	9	8	10	8
1019171907102750410	6909.539576419621	-5940.640290335349	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101620371-1	4022.559258367528	-5164.421950370171	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907201820468	3797.832569309439	-6161.790046118194	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.52220223234363	6	1	0	16	16	10
1019171907101620352-1	4130.796011057474	-5053.594530450216	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.56925127483275	5	2	1	3	2	1
1019171907101620344	3946.070215172073	-5197.408187806387	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907101830444	3984.321321474365	-5928.368670910935	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.58468391507905	6	1	0	13	16	10
1019171907101820080	3433.3090023439945	-5970.192662326402	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.43065120828796	6	1	0	16	16	16
1019171907101820106	3393.3659210686287	-6046.671975099996	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	7	13	1.50125414158883	6	5	17	2	16	2
1019171907102550246	7225.142245034779	-4722.710858564013	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	13	11	6	1.60775945153052	4	10	9	3	10	1
1019171907102760408	7188.668292505506	-5699.877155361385	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.52220223234363	6	1	0	15	16	8
1019171907102540341	6921.513758122688	-5139.41945490638	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.56925127483275	5	2	1	3	2	1
1019171907102750412	6771.765460023523	-6081.642698286925	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.63772676243696	6	1	0	9	16	10
1019171907101840422	4383.026013080129	-5563.968855006194	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.56925127483275	5	2	1	3	2	1
1019171907102540328	6658.913188820166	-5356.716926545776	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907101830097	3779.214691344561	-5663.781152232174	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102980233	7378.891740657691	-5880.977498861228	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
