memory_mb	runtime_s	data	sample	n_obs	BC_number	evaluation_criterion	cluster_number	consensus_method	path
8314.2	451.239	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	4	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
210.64	11.7124	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	4	Cross_method_ARI	20	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
821.91	117.2244	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	6	Cross_method_ARI	19	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_6/Cross_method_ARI/cluster_19/benchmark_consensus_lca.txt
12014.05	486.546	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	6	Cross_method_ARI	19	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_6/Cross_method_ARI/cluster_19/benchmark_consensus_weighted.txt
212.23	16.8436	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	6	Cross_method_ARI	19	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_6/Cross_method_ARI/cluster_19/benchmark_consensus_kmode.txt
1278.22	128.973	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	8	Cross_method_ARI	19	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_8/Cross_method_ARI/cluster_19/benchmark_consensus_lca.txt
13131.11	1766.2935	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	8	Cross_method_ARI	19	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_8/Cross_method_ARI/cluster_19/benchmark_consensus_weighted.txt
211.43	21.1881	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	8	Cross_method_ARI	19	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_8/Cross_method_ARI/cluster_19/benchmark_consensus_kmode.txt
2042.26	307.0799	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	10	Cross_method_ARI	19	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_10/Cross_method_ARI/cluster_19/benchmark_consensus_lca.txt
17818.69	1501.5169	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	10	Cross_method_ARI	19	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_10/Cross_method_ARI/cluster_19/benchmark_consensus_weighted.txt
226.99	25.6683	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	10	Cross_method_ARI	19	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_10/Cross_method_ARI/cluster_19/benchmark_consensus_kmode.txt
1924.23	268.1273	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	12	Cross_method_ARI	19	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_12/Cross_method_ARI/cluster_19/benchmark_consensus_lca.txt
18401.41	1465.5249	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	12	Cross_method_ARI	19	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_12/Cross_method_ARI/cluster_19/benchmark_consensus_weighted.txt
240.35	30.6871	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	12	Cross_method_ARI	19	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_12/Cross_method_ARI/cluster_19/benchmark_consensus_kmode.txt
577.37	81.6617	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	4	Cross_method_ARI	19	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_4/Cross_method_ARI/cluster_19/benchmark_consensus_lca.txt
12221.76	1309.1306	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	4	Cross_method_ARI	19	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_4/Cross_method_ARI/cluster_19/benchmark_consensus_weighted.txt
211.88	13.5144	abc_atlas_wmb_thalamus	C57BL6J-638850_6800	12120	4	Cross_method_ARI	19	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6800/consensus/BC_4/Cross_method_ARI/cluster_19/benchmark_consensus_kmode.txt
612.91	80.2883	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	6	Cross_method_ARI	16	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_6/Cross_method_ARI/cluster_16/benchmark_consensus_lca.txt
6511.66	539.4937	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	6	Cross_method_ARI	16	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_6/Cross_method_ARI/cluster_16/benchmark_consensus_weighted.txt
192.74	9.6834	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	6	Cross_method_ARI	16	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_6/Cross_method_ARI/cluster_16/benchmark_consensus_kmode.txt
655.66	46.442	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	8	Cross_method_ARI	16	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_8/Cross_method_ARI/cluster_16/benchmark_consensus_lca.txt
6111.69	396.9359	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	8	Cross_method_ARI	16	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_8/Cross_method_ARI/cluster_16/benchmark_consensus_weighted.txt
194.75	12.2247	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	8	Cross_method_ARI	16	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_8/Cross_method_ARI/cluster_16/benchmark_consensus_kmode.txt
822.17	73.7408	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	10	Cross_method_ARI	16	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_10/Cross_method_ARI/cluster_16/benchmark_consensus_lca.txt
6156.87	449.9114	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	10	Cross_method_ARI	16	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_10/Cross_method_ARI/cluster_16/benchmark_consensus_weighted.txt
193.09	22.1855	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	10	Cross_method_ARI	16	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_10/Cross_method_ARI/cluster_16/benchmark_consensus_kmode.txt
1093.83	91.4102	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	12	Cross_method_ARI	16	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_12/Cross_method_ARI/cluster_16/benchmark_consensus_lca.txt
6903.84	602.3617	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	12	Cross_method_ARI	16	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_12/Cross_method_ARI/cluster_16/benchmark_consensus_weighted.txt
202.52	16.8675	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	12	Cross_method_ARI	16	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_12/Cross_method_ARI/cluster_16/benchmark_consensus_kmode.txt
462.27	33.9188	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	4	Cross_method_ARI	16	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_4/Cross_method_ARI/cluster_16/benchmark_consensus_lca.txt
5671.34	343.3482	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	4	Cross_method_ARI	16	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_4/Cross_method_ARI/cluster_16/benchmark_consensus_weighted.txt
187.88	8.1116	abc_atlas_wmb_thalamus	C57BL6J-638850_7800	7691	4	Cross_method_ARI	16	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7800/consensus/BC_4/Cross_method_ARI/cluster_16/benchmark_consensus_kmode.txt
763.4	72.238	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	6	Cross_method_ARI	18	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_6/Cross_method_ARI/cluster_18/benchmark_consensus_lca.txt
6905.34	458.0833	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	6	Cross_method_ARI	18	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_6/Cross_method_ARI/cluster_18/benchmark_consensus_weighted.txt
191.05	11.8426	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	6	Cross_method_ARI	18	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_6/Cross_method_ARI/cluster_18/benchmark_consensus_kmode.txt
891.61	98.7884	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	8	Cross_method_ARI	18	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_8/Cross_method_ARI/cluster_18/benchmark_consensus_lca.txt
8496.66	427.0625	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	8	Cross_method_ARI	18	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_8/Cross_method_ARI/cluster_18/benchmark_consensus_weighted.txt
203.91	14.4931	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	8	Cross_method_ARI	18	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_8/Cross_method_ARI/cluster_18/benchmark_consensus_kmode.txt
1239.73	222.5496	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	8486	10	Cross_method_ARI	18	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_6600/consensus/BC_10/Cross_method_ARI/cluster_18/benchmark_consensus_lca.txt
