	x	y	data	sample	cluster_number	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	SCAN-IT_config_default_label	SpaceFlow_config_default_label	DRSC_config_default_label	SCAN-IT_config_seqFISH_mouse_SScortex_label	stardust_config_default_label
FN4_D1_batch2_194_225	427	48	stereoseq_liver	FN4_D1_batch2	9	7	1.56883165960686	9	1	0	7	1	0
FN4_D1_batch2_221_286	454	109	stereoseq_liver	FN4_D1_batch2	9	6	1.39298226204197	5	8	1	2	4	6
FN4_D1_batch2_164_95	397	-82	stereoseq_liver	FN4_D1_batch2	9	8	1.46915938498573	2	2	6	6	0	1
FN4_D1_batch2_155_236	388	59	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_187_75	420	-102	stereoseq_liver	FN4_D1_batch2	9	6	1.28605733687438	8	7	1	7	4	7
FN4_D1_batch2_228_163	461	-14	stereoseq_liver	FN4_D1_batch2	9	8	1.29082266851471	2	2	4	4	0	4
FN4_D1_batch2_167_193	400	16	stereoseq_liver	FN4_D1_batch2	9	3	1.4546247143256	3	1	0	7	2	6
FN4_D1_batch2_169_165	402	-12	stereoseq_liver	FN4_D1_batch2	9	3	1.52262184756953	3	7	0	7	2	7
FN4_D1_batch2_188_233	421	56	stereoseq_liver	FN4_D1_batch2	9	3	1.51578881224895	4	1	0	7	2	6
FN4_D1_batch2_150_101	383	-76	stereoseq_liver	FN4_D1_batch2	9	8	1.47770025077707	6	2	6	1	0	1
FN4_D1_batch2_164_173	397	-4	stereoseq_liver	FN4_D1_batch2	9	4	1.47728063555118	3	1	2	3	1	7
FN4_D1_batch2_193_248	426	71	stereoseq_liver	FN4_D1_batch2	9	4	1.52262184756953	1	0	5	6	1	0
FN4_D1_batch2_223_109	456	-68	stereoseq_liver	FN4_D1_batch2	9	2	1.52262184756953	8	5	8	5	6	7
FN4_D1_batch2_153_142	386	-35	stereoseq_liver	FN4_D1_batch2	9	4	1.37844759138184	3	8	2	3	1	1
FN4_D1_batch2_206_101	439	-76	stereoseq_liver	FN4_D1_batch2	9	6	1.37760836093005	8	7	1	2	4	5
FN4_D1_batch2_151_151	384	-26	stereoseq_liver	FN4_D1_batch2	9	7	1.60775945153052	3	8	0	3	1	7
FN4_D1_batch2_188_214	421	37	stereoseq_liver	FN4_D1_batch2	9	4	1.36858914077843	1	4	2	6	1	2
FN4_D1_batch2_176_90	409	-87	stereoseq_liver	FN4_D1_batch2	9	7	1.4387724588534	7	3	0	3	2	7
FN4_D1_batch2_209_97	442	-80	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_183_262	416	85	stereoseq_liver	FN4_D1_batch2	9	5	1.38486101147652	1	0	3	6	0	3
FN4_D1_batch2_173_120	406	-57	stereoseq_liver	FN4_D1_batch2	9	6	1.43790385883442	7	7	1	2	2	5
FN4_D1_batch2_155_168	388	-9	stereoseq_liver	FN4_D1_batch2	9	4	1.55901640663549	3	4	3	1	1	2
FN4_D1_batch2_181_183	414	6	stereoseq_liver	FN4_D1_batch2	9	1	1.49789822266371	3	8	0	3	1	0
FN4_D1_batch2_213_208	446	31	stereoseq_liver	FN4_D1_batch2	9	7	1.46915938498573	4	1	0	3	2	0
FN4_D1_batch2_210_181	443	4	stereoseq_liver	FN4_D1_batch2	9	7	1.35363485489241	4	3	0	3	2	0
FN4_D1_batch2_148_223	381	46	stereoseq_liver	FN4_D1_batch2	9	3	1.48411367087175	4	1	1	2	1	6
FN4_D1_batch2_177_263	410	86	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_227_178	460	1	stereoseq_liver	FN4_D1_batch2	9	4	1.45330712951353	6	3	2	3	7	0
FN4_D1_batch2_149_217	382	40	stereoseq_liver	FN4_D1_batch2	9	5	1.52220223234363	1	0	3	1	0	2
FN4_D1_batch2_164_124	397	-53	stereoseq_liver	FN4_D1_batch2	9	8	1.58468391507905	2	3	6	6	0	1
FN4_D1_batch2_230_222	463	45	stereoseq_liver	FN4_D1_batch2	9	5	1.52862948050316	1	6	4	1	0	3
FN4_D1_batch2_219_144	452	-33	stereoseq_liver	FN4_D1_batch2	9	2	1.41876825163635	8	5	4	1	3	4
FN4_D1_batch2_189_268	422	91	stereoseq_liver	FN4_D1_batch2	9	5	1.49397212147517	1	0	4	1	0	3
FN4_D1_batch2_236_250	469	73	stereoseq_liver	FN4_D1_batch2	9	1	1.59921858573918	5	4	0	3	4	0
FN4_D1_batch2_217_197	450	20	stereoseq_liver	FN4_D1_batch2	9	5	1.32249780989192	6	2	3	6	0	2
FN4_D1_batch2_145_105	378	-72	stereoseq_liver	FN4_D1_batch2	9	6	1.58940333276782	6	8	1	2	4	5
FN4_D1_batch2_158_195	391	18	stereoseq_liver	FN4_D1_batch2	9	3	1.48411367087175	3	1	0	7	2	0
